center_id,poi_id,name,lon,lat,cluster_id,P_i,is_substitute
0,B0FFHLCNSD,菜鸟驿站(景欣苑店),117.309475,39.094975,0,261.40000000000003,False
1,B0JK7RNYMF,丰巢快递柜(民生大厦店),117.198272,39.125839,1,1578.9,False
2,B0K6VHYJ4L,一康医疗器械(河西店),117.234063,39.076196,2,584.15,False
3,B0G19H9CM0,菜鸟驿站(天津东丽区悦城花园2-104店),117.40558,39.16071,3,327.85,False
4,B0FFISBE76,菜鸟驿站(万和里店),117.261625,39.123975,4,529.95,False
5,B0J2NHJQ5B,滴滴货运·天津子鼠丑牛司机服务中心(凯祥花园西区店),117.156846,39.097036,5,604.25,False
6,B0FFG6PMWK,德邦快递(天津红桥区湘潭中路经营分部),117.152965,39.158823,6,951.1,False
7,B001605SQV,军粮城邮政支局,117.457093,39.058757,7,75.39999999999998,False
8,B0FFHVOYF2,天津广亚物流,117.339894,39.225379,8,106.44999999999996,False
9,B0JB2XRESU,菜鸟驿站(战备路店),117.222075,39.160975,9,762.9000000000001,False
