poi_id,name,lon,lat,d_min,reason
B0K6VSYQ8Y,货拉拉天津东丽区旗舰店(司机加入、租车买车),117.373213,39.075002,5932.6579961563775,distance
B00160C5C7,中国国际货运航空有限公司(天津运营基地),117.337344,39.134585,4956.414351047349,distance
B0FFFFZW2E,长城汽车股份有限公司天津分公司物流中心(中南六街),117.512368,39.081243,5355.780652195483,distance
B0FFHUXOYL,天津物流部,117.51377,39.083911,5579.481229934384,distance
B0FFFE9B1S,汇力通物流园,117.329126,39.139536,4950.396157294592,distance
B00160BW7V,天津万士隆国际物流有限公司,117.333407,39.138749,5110.717814296047,distance
B0FFF47JZA,安达物流(二经路店),117.354884,39.073558,4586.118506572711,distance
B0FFL9WK8D,万德隆物流,117.355839,39.136761,4966.474133897789,distance
B0FFLM2QMZ,中外运空运有限公司天津分公司,117.330819,39.135578,4697.758745966853,distance
B0GUKSCRA2,天津普洛斯城市服务配送物流中心,117.330147,39.141959,5220.336876928978,distance
B0HB318YEM,天津机场货运区,117.334753,39.138113,5125.932409133666,distance
B0FFJRVHDJ,天津吉祥润物流,117.333901,39.167667,4378.140890981392,distance
B0FFI5XDA2,跨越速运天津机场分拨(天津滨海国际机场店),117.355059,39.136441,5041.916504093143,distance
B0FFHYKPZR,翔燕物流,117.375089,39.105716,4684.007708076376,distance
B0FFH9FAR7,晟坤物流(天津)有限公司,117.335976,39.13909,5275.834490114394,distance
B0FFH8NHW5,FedEx(天津空港站),117.329053,39.138665,4868.942727376289,distance
B00160DK1O,天津空港货运有限公司(机场六号路店),117.343593,39.129161,4807.791482974183,distance
B0016116MI,天津华宇股份有限公司,117.336175,39.138181,5204.868104730561,distance
B0FFFEQ60K,健营物流,117.323475,39.161298,5008.330770071574,distance
B0J6VC796B,天津河东集配站,117.328516,39.140372,4995.032741271376,distance
B0H6C5YSG8,天津聚实物流有限公司,117.476761,39.216997,8692.065970906968,distance
B0LKCR1HU6,顺丰速运(天津东丽转运中心),117.330589,39.137496,4848.2461988467085,distance
B0FFKJNFY6,津空速达物流(天津)有限公司,117.331371,39.140923,5189.775807237982,distance
B0FFLJ6DY6,天津继勇达物流有限公司,117.330125,39.141975,5220.68964112304,distance
B0H66ZDDH5,天津市升波物流有限公司,117.472875,39.134949,4364.584268165417,distance
B0J1FR2QJB,中通快递东丽开发区公司,117.351089,39.058002,5459.462664180355,distance
B0FFLOZ9MS,天津航空物流区航运服务中心,117.331132,39.133375,4516.407352833975,distance
B0G2N967UC,天津航空物流区,117.332613,39.133063,4566.44215114854,distance
B0KR05N164,顺丰速运(天津滨海转运中心),117.344177,39.12989,4902.732703360267,distance
B0016115M5,天津市交通集团大件运输有限公司,117.347199,39.072952,4074.139667175699,distance
B0FFFRMGPC,顺丰速运(航站楼店),117.361598,39.131208,4730.943223560966,distance
B0FFMEDSU1,天津华宇航空货运站,117.335231,39.136422,4999.906941218494,distance
B00160A4WM,恒隆国际物流,117.329912,39.143455,5335.954024895922,distance
B00160DK75,金环城物流中心,117.372589,39.075594,5858.195061577606,distance
B0FFH4TDKA,圆通速递(三号路店),117.330223,39.137975,4869.974633814233,distance
B0FFLIC5W3,安能物流(津塘公路店),117.37362,39.075074,5962.2680003153955,distance
