subcenter_id,poi_id,name,lon,lat,parent_center
0,B0J0V7TN6A,天津嘛都行货运司机之家,117.351694,39.083332,0
1,B00160BW7V,天津万士隆国际物流有限公司,117.333407,39.138749,0
2,B0FFGC279B,天津易客满国际物流有限公司,117.333444,39.115344,0
3,B0H6F94DFE,菜鸟驿站(天津河西艺林路菜市场店),117.2834,39.06303,0
4,B0FFFRMGPC,顺丰速运(航站楼店),117.361598,39.131208,3
5,B0H6C5YSG8,天津聚实物流有限公司,117.476761,39.216997,3
6,B0H66ZDDH5,天津市升波物流有限公司,117.472875,39.134949,3
7,B0FFM8XZH6,中国邮政,117.338884,39.168908,3
8,B0FFJNEDJ3,菜鸟驿站(万科揽城苑店),117.510023,39.178994,3
9,B0JGNXWSE4,菜鸟驿站(惠众家园店),117.267875,39.047475,2
10,B0FFLJRCHA,庆隆物流(南开店),117.120701,39.12971,6
