poi_id,name,type,lon,lat,district
B0K6VSYQ8Y,货拉拉天津东丽区旗舰店(司机加入、租车买车),物流速递,117.373213,39.075002,东丽区
B0J0VUTIMI,京东2期物流园,物流速递,117.352522,39.190564,东丽区
B0FFJ3XKRR,通力物流园,物流速递,117.377057,39.225172,东丽区
B0FFHCKA8O,天津树森物流公司,物流速递,117.468186,39.103874,东丽区
B0L3MUL37S,顺心物流,物流速递,117.379425,39.224025,东丽区
B0016115VE,天津天纺物流有限公司,物流速递,117.345742,39.091588,东丽区
B0FFGLLR4C,宜家物流分拨中心,物流速递,117.455172,39.104031,东丽区
B00160C5C7,中国国际货运航空有限公司(天津运营基地),物流速递,117.337344,39.134585,东丽区
B0FFFFZW2E,长城汽车股份有限公司天津分公司物流中心(中南六街),物流速递,117.512368,39.081243,东丽区
B0FFGFVRW3,天津全程物流配送有限公司,物流速递,117.325917,39.201756,东丽区
B0FFJMKI5D,巨邦物流中心,物流速递,117.248479,39.187571,东丽区
B0FFHUXOYL,天津物流部,物流速递,117.51377,39.083911,东丽区
B0FFG8PFBB,荣明达物流,物流速递,117.288284,39.190475,东丽区
B0FFFE9B1S,汇力通物流园,物流速递,117.329126,39.139536,东丽区
B0016151L6,神州通物流园,物流速递,117.413214,39.123002,东丽区
B00160BW7V,天津万士隆国际物流有限公司,物流速递,117.333407,39.138749,东丽区
B001617LDT,盛泰物流,物流速递,117.34526,39.092605,东丽区
B0FFIBDWAD,古镇物流园,物流速递,117.446414,39.038031,东丽区
B001617LEA,立业物流园,物流速递,117.444855,39.043597,东丽区
B0FFF47JZA,安达物流(二经路店),物流速递,117.354884,39.073558,东丽区
B0FFK8H551,北方万邦物流有限公司天津分公司,物流速递,117.462362,39.055071,东丽区
B0FFL9WK8D,万德隆物流,物流速递,117.355839,39.136761,东丽区
B0FFLM2QMZ,中外运空运有限公司天津分公司,物流速递,117.330819,39.135578,东丽区
B0GR3RK0J7,晟赫物流,物流速递,117.473529,39.112415,东丽区
B0FFHVOYF2,天津广亚物流,物流速递,117.339894,39.225379,东丽区
B0GUKSCRA2,天津普洛斯城市服务配送物流中心,物流速递,117.330147,39.141959,东丽区
B0FFHEBKA7,巨邦物流中心西院,物流速递,117.247552,39.188536,东丽区
B0J2A568WY,中外运物流公司空港分发中心,物流速递,117.460443,39.116708,东丽区
B0L1ZAKVBD,蓝页物满满·全国物流专线查询平台(天津分公司),物流速递,117.38767,39.226553,东丽区
B0H1CH3QSG,安能物流(港城大道店),物流速递,117.479001,39.110718,东丽区
B0FFKMFC75,杨北路物流园,物流速递,117.353583,39.225055,东丽区
B0HB318YEM,天津机场货运区,物流速递,117.334753,39.138113,东丽区
B0G2AC5RUU,旭阳升物流(鑫旺居家居装饰有限公司),物流速递,117.388077,39.225454,东丽区
B0JDDNWA6B,振东物流集团,物流速递,117.256519,39.180857,东丽区
B0LAD58E06,泰昌物流,物流速递,117.355025,39.224883,东丽区
B0G14ADSDZ,跨越速运天津东丽分拨,物流速递,117.370394,39.170306,东丽区
B001617ENJ,天津利达物流服务有限公司,物流速递,117.455682,39.052833,东丽区
B0FFL45C3I,嘉士普物流,物流速递,117.387263,39.226042,东丽区
B0FFJRVHDJ,天津吉祥润物流,物流速递,117.333901,39.167667,东丽区
B0FFICG921,荣顺昌物流,物流速递,117.355515,39.22976,东丽区
B0FFI5XDA2,跨越速运天津机场分拨(天津滨海国际机场店),物流速递,117.355059,39.136441,东丽区
B0FFKFB8C1,中通快递天津转运中心,物流速递,117.446165,39.124947,东丽区
B001611O6P,鑫汇洋物流公司,物流速递,117.25889,39.194793,东丽区
B0FFGQL1ZP,蚁安居天津军粮城物流中心,物流速递,117.455916,39.042173,东丽区
B0KU15TDX4,建发钢铁,物流速递,117.461786,39.110697,东丽区
B0FFJGFL7G,宇鑫物流天津东丽区营业部,物流速递,117.355787,39.228918,东丽区
B0JAU7R290,圆创物流,物流速递,117.355156,39.227822,东丽区
B0FFHCTPO0,韵达快递(天津分拨中心),物流速递,117.464845,39.134646,东丽区
B0GRSHC5DA,天津宇洋顺通物流有限公司,物流速递,117.357035,39.230739,东丽区
B0FFHYKPZR,翔燕物流,物流速递,117.375089,39.105716,东丽区
B0FFLHUZ8I,瀛海物流(杨北路建材城店),物流速递,117.354799,39.228884,东丽区
B0016153Q1,津亚物流园,物流速递,117.350083,39.226831,东丽区
B0JGF7M6AN,东丽区荣原物流(河南专线),物流速递,117.356101,39.226151,东丽区
B0G19H9CM0,菜鸟驿站(天津东丽区悦城花园2-104店),物流速递,117.40558,39.16071,东丽区
B0FFGXVZF4,军粮城东铁物流公司,物流速递,117.440295,39.0456,东丽区
B0HKV554JY,德邦快递(天津东丽区振东经营分部),物流速递,117.25529,39.187612,东丽区
B0FFGHUDTN,振东物流中心,物流速递,117.250954,39.189355,东丽区
B0HKDR3J25,天津市振东展运货运有限公司,物流速递,117.355475,39.225025,东丽区
B0FFJXXIYH,宇佳乡村通物流(天津总部),物流速递,117.356927,39.227202,东丽区
B0FFH9FAR7,晟坤物流(天津)有限公司,物流速递,117.335976,39.13909,东丽区
B00160DTIQ,普洛斯天津空港物流园,物流速递,117.389011,39.135593,东丽区
B0G23SD4JX,天津九邦货运有限公司,物流速递,117.433769,39.132742,东丽区
B0FFLEXEK0,宝隆物流,物流速递,117.243038,39.187807,东丽区
B0FFLH2V0Y,韩明物流园,物流速递,117.355844,39.223064,东丽区
B0FFMGLV5R,普洛斯东丽华明物流园,物流速递,117.369466,39.168359,东丽区
B0HGCZIGI9,全拓物流,物流速递,117.353858,39.228177,东丽区
B0H0XC4ORI,妈妈驿站(驯海路店),物流速递,117.343945,39.087719,东丽区
B0FFK1QZ5T,常佳物流,物流速递,117.354426,39.229027,东丽区
B0FFH8NHW5,FedEx(天津空港站),物流速递,117.329053,39.138665,东丽区
B0FFGBYWHN,天津市通广物流有限公司,物流速递,117.290784,39.196811,东丽区
B00160DK1O,天津空港货运有限公司(机场六号路店),物流速递,117.343593,39.129161,东丽区
B001616UZB,国药控股天津物流有限公司,物流速递,117.422639,39.146678,东丽区
B0016116MI,天津华宇股份有限公司,物流速递,117.336175,39.138181,东丽区
B0FFFEQ60K,健营物流,物流速递,117.323475,39.161298,东丽区
B0GRD5IAZX,壹米滴答快运北方五金城营业部(慧捷路店),物流速递,117.276409,39.196249,东丽区
B00160AQLK,天津邮政物流中心,物流速递,117.335955,39.110603,东丽区
B0FFL8DTJ3,天津货运中心张贵庄货场,物流速递,117.310497,39.098276,东丽区
B0J6VC796B,天津河东集配站,物流速递,117.328516,39.140372,东丽区
B0H6C5YSG8,天津聚实物流有限公司,物流速递,117.476761,39.216997,东丽区
B0LKCR1HU6,顺丰速运(天津东丽转运中心),物流速递,117.330589,39.137496,东丽区
B0J0KHWWRC,天禾电通仓储物流中心,物流速递,117.344905,39.090962,东丽区
B0JGUSCRNE,晨星物流(原东腾),物流速递,117.248108,39.185108,东丽区
B0HA6H8XXD,鑫元思达物流杭州宁波专线,物流速递,117.356309,39.231087,东丽区
B0FFHGN7I9,北京康捷空国际货运代理有限公司滨海新区分公司,物流速递,117.382004,39.159332,东丽区
B0FFGI6RKW,天津货运中心北环营业部,物流速递,117.305417,39.187881,东丽区
B0H1X41YO6,世鑫盛货运中心,物流速递,117.284731,39.128091,东丽区
B0HAKBH5G2,天津市圣道物流有限公司,物流速递,117.289873,39.199582,东丽区
B0G246BGAJ,天津市广会通物流有限公司,物流速递,117.390679,39.222148,东丽区
B0KDSGVIJG,天津苏宁物流有限公司,物流速递,117.433081,39.137125,东丽区
B0FFKJNFY6,津空速达物流(天津)有限公司,物流速递,117.331371,39.140923,东丽区
B0GRAD3KOM,永信物流,物流速递,117.292759,39.204198,东丽区
B0FFIR3R50,亨达物流(津芦线店),物流速递,117.355125,39.223175,东丽区
B0HKUSUWC6,物产中大物流天津汇金库,物流速递,117.385124,39.131623,东丽区
B0I26HJAIO,津汇航物流(上海专线),物流速递,117.355077,39.225435,东丽区
B0FFG5BDKZ,北盛伟业低温运输有限公司,物流速递,117.259461,39.195659,东丽区
B0FFH6GIDR,菜鸟驿站(闽中路店),物流速递,117.242189,39.191574,东丽区
B0FFITK2LF,宝供(天津)国际物流基地,物流速递,117.430405,39.125841,东丽区
B0016112BF,天津宝仓钢管物流有限公司,物流速递,117.449658,39.038441,东丽区
B0FFGSY7KY,天津市物流货运中心金钟物流园,物流速递,117.292253,39.199446,东丽区
B0FFLJ6DY6,天津继勇达物流有限公司,物流速递,117.330125,39.141975,东丽区
B0FFLGQ6ZY,民航小区航七妈妈驿站,物流速递,117.348184,39.107559,东丽区
B0H66ZDDH5,天津市升波物流有限公司,物流速递,117.472875,39.134949,东丽区
B0H335UT7A,诺信达,物流速递,117.354758,39.231069,东丽区
B0J6AZUMCI,妈妈驿站(华明便民服务中心店),物流速递,117.367701,39.173372,东丽区
B0FFGI6KTR,天津天纺高新物流有限公司(中环南路),物流速递,117.430613,39.12865,东丽区
B0FFJ81MLY,蓝盟供应链,物流速递,117.388834,39.222389,东丽区
B0J1FR2QJB,中通快递东丽开发区公司,物流速递,117.351089,39.058002,东丽区
B0FFLOZ9MS,天津航空物流区航运服务中心,物流速递,117.331132,39.133375,东丽区
B0FFLFK83S,万昌物流石家庄专线,物流速递,117.353893,39.232334,东丽区
B0FFMBYZJZ,天津津山汉物流有限公司,物流速递,117.371423,39.223461,东丽区
B0FFJLJ5CF,鼎盛物流(杨北路建材城店),物流速递,117.356675,39.228925,东丽区
B0G2N967UC,天津航空物流区,物流速递,117.332613,39.133063,东丽区
B0J0V7TN6A,天津嘛都行货运司机之家,物流速递,117.351694,39.083332,东丽区
B0G01CRZYY,富鑫物流(石家庄专线),物流速递,117.354268,39.231458,东丽区
B0G1TCX2J3,本源电动车物流园,物流速递,117.254393,39.187824,东丽区
