solution_id,R_struct,isolation_rate,R_combined,total_cost,n_reactivated,n_detour,n_branch_recovered,n_isolated_after,selected_edges
0,1.0,0.5003631082062454,0.7498184458968773,357.5,6,5,688,689,"detour_3-8,8-9,detour_1-9,detour_1-6,detour_1-5,1-4,0-4,1-2,3-7,detour_6-9,4-9,B_B0FFJ3XKRR,B_B0L3MUL37S,B_B0FFGLLR4C,B_B0FFGFVRW3,B_B0FFIBDWAD,B_B001617LEA,B_B0FFK8H551,B_B0GR3RK0J7,B_B0FFHEBKA7...(+679)"
3,0.9090909090909091,0.495279593318809,0.70690565788605,357.5,10,0,695,682,"3-8,8-9,1-9,1-6,1-5,1-4,0-4,1-2,3-7,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFHCKA8O,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0016151L6,B_B0FFIBDWAD,B_B0GR3RK0J7,B_B0J2A568WY,B_B0L1ZAKVBD...(+685)"
5,0.9090909090909091,0.495279593318809,0.70690565788605,357.5,10,0,695,682,"3-8,8-9,1-9,1-6,1-5,1-4,0-4,1-2,3-7,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFHCKA8O,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0016151L6,B_B0FFIBDWAD,B_B0GR3RK0J7,B_B0FFHEBKA7,B_B0J2A568WY...(+685)"
52,0.9090909090909091,0.495279593318809,0.70690565788605,357.5,10,0,695,682,"3-8,8-9,1-9,1-6,1-5,1-4,0-4,1-2,3-7,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFHCKA8O,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0016151L6,B_B0FFIBDWAD,B_B0GR3RK0J7,B_B0J2A568WY,B_B0L1ZAKVBD...(+685)"
16,0.8181818181818182,0.49310094408133626,0.662540437050241,358.0,9,0,698,679,"3-8,8-9,1-9,1-5,1-4,0-4,1-2,3-7,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFHCKA8O,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0016151L6,B_B0GR3RK0J7,B_B0FFHEBKA7,B_B0J2A568WY,B_B0H1CH3QSG,B_B0FFKMFC75...(+687)"
4,0.8181818181818182,0.49310094408133626,0.662540437050241,358.0,9,0,698,679,"3-8,8-9,1-9,1-5,1-4,0-4,1-2,3-7,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFHCKA8O,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0016151L6,B_B0GR3RK0J7,B_B0FFHEBKA7,B_B0J2A568WY,B_B0H1CH3QSG,B_B0LAD58E06...(+687)"
12,0.7272727272727273,0.4916485112563544,0.6178121080081864,358.0,8,0,700,677,"3-8,8-9,1-9,1-5,1-4,1-2,3-7,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0FFG8PFBB,B_B0016151L6,B_B001617LDT,B_B0FFK8H551,B_B0GR3RK0J7,B_B0FFHEBKA7,B_B0J2A568WY,B_B0LAD58E06...(+688)"
8,0.7272727272727273,0.4916485112563544,0.6178121080081864,358.0,8,0,700,677,"3-8,8-9,1-9,1-6,1-4,0-4,1-2,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0L3MUL37S,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0FFG8PFBB,B_B0016151L6,B_B001617LDT,B_B001617LEA,B_B0FFK8H551,B_B0GR3RK0J7,B_B0J2A568WY...(+688)"
37,0.7272727272727273,0.4916485112563544,0.6178121080081864,358.0,8,0,700,677,"3-8,8-9,1-6,1-5,1-4,0-4,1-2,3-7,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0FFG8PFBB,B_B0016151L6,B_B001617LDT,B_B0GR3RK0J7,B_B0J2A568WY,B_B0FFKMFC75,B_B0LAD58E06,B_B0G14ADSDZ...(+688)"
49,0.7272727272727273,0.4916485112563544,0.6178121080081864,358.0,8,0,700,677,"3-8,8-9,1-9,1-6,1-5,1-4,0-4,3-7,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0FFG8PFBB,B_B0016151L6,B_B001617LDT,B_B0FFIBDWAD,B_B001617LEA,B_B0GR3RK0J7,B_B0J2A568WY,B_B0L1ZAKVBD...(+688)"
61,0.7272727272727273,0.4916485112563544,0.6178121080081864,358.0,8,0,700,677,"8-9,1-9,1-6,1-5,1-4,0-4,1-2,4-9,B_B0J0VUTIMI,B_B0FFJ3XKRR,B_B0FFHCKA8O,B_B0FFGLLR4C,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0016151L6,B_B0FFIBDWAD,B_B0FFK8H551,B_B0GR3RK0J7,B_B0FFHEBKA7,B_B0J2A568WY...(+688)"
76,0.7272727272727273,0.4916485112563544,0.6178121080081864,358.0,8,0,700,677,"3-8,8-9,1-5,1-4,0-4,1-2,3-7,4-9,B_B0FFJ3XKRR,B_B0FFHCKA8O,B_B0FFGFVRW3,B_B0FFJMKI5D,B_B0016151L6,B_B0FFIBDWAD,B_B0GR3RK0J7,B_B0FFHEBKA7,B_B0J2A568WY,B_B0H1CH3QSG,B_B0FFKMFC75,B_B0G2AC5RUU...(+688)"
